variable_name,variable_description,variable_source,form_location,variable_coverage,form_scope,variable_datatype
F9_08_REV_OTH_INV_NET_TOT,Gross profit (or loss) from sales of inventory,PZ,"F990-EZ-PART-01-LINE-07C;
F990-PC-PART-08-LINE-10C-COL-A",1989-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_RENT_GRO_PERS,Gross Rents - Amount,PC,F990-PC-PART-08-LINE-06A-COL-ii,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_RENT_GRO_REAL,Gross Rents - Real amount,PC,F990-PC-PART-08-LINE-06A-COL-i,2009-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_RENT_INCOME_PERS,Rental Income Or Loss - Amount,PC,F990-PC-PART-08-LINE-06C-COL-ii,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_RENT_INCOME_REAL,Rental Income Or Loss - Real amount,PC,F990-PC-PART-08-LINE-06C-COL-i,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_RENT_LESS_EXP_PERS,Less Rental Expenses - Amount,PC,F990-PC-PART-08-LINE-06B-COL-ii,2009-2022,PZ-501C3,integer
F9_08_REV_OTH_RENT_LESS_EXP_REAL,Less Rental Expenses - Real amount,PC,F990-PC-PART-08-LINE-06B-COL-i,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_RENT_NET_TOT,Net Rental Income Or Loss - Total revenue,PC,F990-PC-PART-08-LINE-06D-COL-A,1995-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_ROY_TOT,Royalties Revenue - Total revenue,PC,F990-PC-PART-08-LINE-05-COL-A,2009-2022,PZ-501C3,integer;numeric
F9_08_REV_OTH_SALE_ASSET,Gross amount from sale of assets other than inventory (F990-PC-PART-08-LINE-07A-COL-i-ii-COMBINED: F990-EZ-PART-01-LINE-05A),PZ,F990-EZ-PART-01-LINE-05A,2020-2022,PZ-501C3,numeric;integer
F9_08_REV_OTH_SALE_ASSET_OTH,Gross Amount Sales Assets - Other amount,PZ,F990-PC-PART-08-LINE-07A-COL-ii,1995-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_SALE_ASSET_SEC,Securities amount,"PC;
PZ",F990-PC-PART-08-LINE-07A-COL-i,1989-2022,PZ-501C3,integer64;numeric
F9_08_REV_OTH_SALE_GAIN_NET_TOT,Gain or (loss) from sale of assets other than inventory,PZ,"F990-EZ-PART-01-LINE-05C;
F990-PC-PART-08-LINE-07D-COL-A",2009-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_SALE_GAIN_OTH,Gain Or Loss - Other amount,PC,F990-PC-PART-08-LINE-07C-COL-ii,1995-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_SALE_GAIN_SEC,Securities amount,PC,F990-PC-PART-08-LINE-07C-COL-i,1995-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_SALE_LESS_COST,Cost or other basis and sales expenses (F990-PC-PART-08-LINE-07B-COL-i-ii-COMBINED: F990-EZ-PART-01-LINE-05B),PZ,F990-EZ-PART-01-LINE-05B,2020-2022,PZ-501C3,numeric;integer
F9_08_REV_OTH_SALE_LESS_COST_OTH,Less Cost Oth Basis Sales Expenses - Other amount,PZ,F990-PC-PART-08-LINE-07B-COL-ii,1995-2022,PZ-501C3,integer;integer64;numeric
F9_08_REV_OTH_SALE_LESS_COST_SEC,Securities amount,PZ,F990-PC-PART-08-LINE-07B-COL-i,1989-2022,PZ-501C3,integer64;numeric
F9_08_REV_PROG_BIZCODE,Program Service Revenue - Business code,PC,F990-PC-PART-08-LINE-02-ABCDE-COL-BIZCODE,2020-2022,PZ-501C3,integer
F9_08_REV_PROG_OTH_TOT,Total Oth Program Service Revenue - Total revenue,PC,F990-PC-PART-08-LINE-02F-COL-A,2020-2022,PZ-501C3,numeric
F9_08_REV_PROG_TOT,Program Service Revenue - Total revenue,PC,F990-PC-PART-08-LINE-02-ABCDE-COL-A,2020-2022,PZ-501C3,integer64;integer
F9_08_REV_PROG_TOT_TOT,Program service revenue total,PC,F990-PC-PART-08-LINE-02G-COL-A,1989-2022,PZ-501C3,integer64;integer;numeric
F9_08_REV_TOT_TOT,Total Revenue - Total revenue,PC,F990-PC-PART-08-LINE-12-COL-A,1989-2022,PZ-501C3,integer64;numeric
F9_09_EXP_AD_PROMO_TOT,Advertising and promotion - total expense,PC,F990-PC-PART-09-LINE-12-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_BEN_PAID_MEMB_TOT,Benefits Paid to or for Members - Total Expense,PZ,F990-PC-PART-09-LINE-04-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_COMP_DSQ_PERS_TOT,"Compensation not included above, or to disqualified persons - Total Expense",PC,F990-PC-PART-09-LINE-06-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_COMP_DTK_TOT,"Compensation for Current Officers, Directors, Trustees and Key Employees - Total Expense",PC,F990-PC-PART-09-LINE-05-COL-A,1989-2022,PZ-501C3,integer64;integer;numeric
F9_09_EXP_CONF_MEETING_TOT,"Conferences, conventions, and meetings- total expense",PC,F990-PC-PART-09-LINE-19-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_DEPREC_TOT,"Depreciation, depletion, and amortization",PC,F990-PC-PART-09-LINE-22-COL-A,2008-2013; 2020-2022,PZ-501C3,integer;numeric
