"Census State","Census County","Metro/Micro Area","Census Region"
"MN","Kandiyohi County","Willmar, MN","Midwest"
"MN","Kittson County",,"Midwest"
"MN","Koochiching County",,"Midwest"
"MN","Lac qui Parle County",,"Midwest"
"MN","Lake County",,"Midwest"
"MN","Lake of the Woods County",,"Midwest"
"MN","Le Sueur County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Lincoln County",,"Midwest"
"MN","Lyon County","Marshall, MN","Midwest"
"MN","Mahnomen County",,"Midwest"
"MN","Marshall County",,"Midwest"
"MN","Martin County","Fairmont, MN","Midwest"
"MN","McLeod County","Hutchinson, MN","Midwest"
"MN","Meeker County",,"Midwest"
"MN","Mille Lacs County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Morrison County",,"Midwest"
"MN","Mower County","Austin, MN","Midwest"
"MN","Murray County",,"Midwest"
"MN","Nicollet County","Mankato, MN","Midwest"
"MN","Nobles County","Worthington, MN","Midwest"
"MN","Norman County",,"Midwest"
"MN","Olmsted County","Rochester, MN","Midwest"
"MN","Otter Tail County","Fergus Falls, MN","Midwest"
"MN","Pennington County",,"Midwest"
"MN","Pine",,"Midwest"
"MN","Pine County",,"Midwest"
"MN","Pipestone County",,"Midwest"
"MN","Polk County","Grand Forks, ND-MN","Midwest"
"MN","Pope County",,"Midwest"
"MN","Ramsey County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Red Lake County",,"Midwest"
"MN","Redwood County",,"Midwest"
"MN","Renville County",,"Midwest"
"MN","Rice County","Faribault-Northfield, MN","Midwest"
"MN","Rock County","Sioux Falls, SD-MN","Midwest"
"MN","Roseau County",,"Midwest"
"MN","Scott County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Sherburne County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Sibley County",,"Midwest"
"MN","St. Louis County","Duluth, MN-WI","Midwest"
"MN","Stearns County","St. Cloud, MN","Midwest"
"MN","Steele County","Owatonna, MN","Midwest"
"MN","Stevens County",,"Midwest"
"MN","Swift County",,"Midwest"
"MN","Todd County",,"Midwest"
"MN","Traverse County",,"Midwest"
"MN","Wabasha County","Rochester, MN","Midwest"
"MN","Wadena County",,"Midwest"
"MN","Waseca County",,"Midwest"
"MN","Washington County","Minneapolis-St. Paul-Bloomington, MN-WI","Midwest"
"MN","Watonwan County",,"Midwest"
